NR. CRT.,VIN,DATA INTRARE VO,TIP AUTOVEHICUL,MARCA,MODEL,VERSIUNE,CULOARE,AN FABRICATIE,KM,CAPACITATE CILINDRICA,PUTERE,DATA PRIMEI INMATRICULARI,FURNIZOR,PROVENIENTA,Tip,LOCATIA,PRET CUMPARARE HT LEI,PRET EVALUARE TTC EURO,Data validare pret evaluare,REZERVARI,NR NIR,OBSERVATII,Serie caroserie,Nr inmatriculare vehicul,Discount,VANZARE,Curs ? Dacia,Pret vanzare lei TTC,Pret vanzare lei HT,tva,Data aviz plata,Nr factura,Data factura,Nume cumparator,Conditie interioara,Conditie exterioara,Pret evaluare DVS (TVA inclus),Pret evaluare Retail (TVA inclus),Pret Trade-in (TVA inclus),Stare,Data evaluare,FREVO,Data final garantie,Data actuala,Zile ramase garantie,Rate facturate,Perioada contract,CIV,IESIRE ROL,LIVRATE LA CLIENT,DATA OFERTA ANGAJATI,Data evaluare,Zile stoc / data evaluare,Zile stoc / data intrare,Viteza rotatie
42,VF1HJD40267425302,20/11/2024,AUTOTURISM,DACIA,DUSTER,SL BLUELINE ,BLUE IRON,2021,79483,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"8,968.93 ?","13,356.00 ?",12/23/2024,AUTO EUROPA SELECTION SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO
PARCARE, RTFIT",7425302,B110KXG,-12.31%,"15,000.00 ?",4.9774 lei,"74,661.00 lei","62,740.34 lei","11,920.66 lei",3/4/2025,30454681,3/13/2025,AUTO EUROPA SELECTION SRL,,"Aripa Fata stƒnga Cu adƒncituri (Repara?ie), Bara de protectie Fata Cu zgƒrieturi (Repara?ie), Usa Spate dreapta Cu zgƒrieturi (Informativ), Aripa Spate dreapta Cu zgƒrieturi (Informativ), Clapeta rezervor de carburant Spate dreapta Cu adƒncituri (Repara?ie), Profil bara de protectie Spate Cu zgƒrieturi (Informativ), Hayon / portbagaj Spate Cu zgƒrieturi (Informativ), Bara de protectie Spate Cu zgƒrieturi (Informativ), Aripa Spate stƒnga Cu adƒncituri & Vops (Repara?ie), Usa Spate stƒnga Cu zgƒrieturi (Informativ), Plafon Centrala Cu zgƒrieturi (Repara?ie), Alte accesorii Interior P?tat (Cur??are), Garnisaj hayon sau portbagaj Spate Cu zgƒrieturi (Informativ), Compartiment interior Spate dreapta Str?puns (Informativ), Placa spate Spate Neconform (Informativ), Compartiment interior Spate stƒnga Str?puns (Informativ), Revizie 26.06.2024/68953km",,13356,13237,BUNA,16.12.2024/DK,, - ,10/22/2025, - ,40,42,CIV,,,-,16.12.2024,#VALUE!,336,113
43,VF1HJD20X67418469,20/11/2024,AUTOTURISM,DACIA,DUSTER,SL BLUELINE ECO-G,BLUE IRON,2021,72112,999,90,7/16/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"6,501.08 ?","10,889.00 ?",12/21/2024,AUTO EUROPA SELECTION SRL,,"2WD, SCAUNE INCALZITE, AER CONDITIONAT AUTOMAT, PACHET HARTI, SENZORI
PARCARE SPATE, FUNCTIA MAINI LIBERE, CAMERA VIDEO PARCARE",7418469,B111FCW,-1.02%,"11,000.00 ?",4.9774 lei,"54,751.40 lei","46,009.58 lei","8,741.82 lei",3/4/2025,30454682,3/13/2025,AUTO EUROPA SELECTION SRL,,"Usa Fata stƒnga Cu zgƒrieturi (Informativ), Carcasa oglinda retrovizoare Fata stƒnga Cu zgƒrieturi (Informativ), Capota Fata Vopsea s?rit? (Informativ), Carcasa oglinda retrovizoare Fata dreapta Cu zgƒrieturi (Repara?ie), Usa Fata dreapta Cu zgƒrieturi (Informativ), Usa Spate dreapta Cu zgƒrieturi (Repara?ie), Stalp caroserie Spate dreapta Cu zgƒrieturi (Informativ), Hayon / portbagaj Spate Cu zgƒrieturi (Informativ), Aripa Spate stƒnga Cu zgƒrieturi (Informativ), Stalp caroserie Spate stƒnga Cu zgƒrieturi (Informativ), Usa Spate stƒnga Cu zgƒrieturi (Repara?ie), Plafon Centrala Cu adƒncituri (Repara?ie), Alte accesorii Centrala P?tat (Cur??are), Garnisaj hayon sau portbagaj Spate Cu zgƒrieturi (Informativ), Revizie 25.06.2024/62718km",,10889,10866,BUNA,14.12.2024/DK,, - ,10/22/2025, - ,39,40,CIV,,,-,14.12.2024,#VALUE!,336,113
44,VF1HJD40667321847,25/11/2024,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,GRIS HIGHLAND,2021,44267,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"11,409.73 ?","15,376.00 ?",12/20/2024,AUTO EUROPA SELECTION SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO
PARCARE, RTFIT",7321847,B110LFZ,0.17%,"15,350.00 ?",4.9774 lei,"76,403.09 lei","64,204.28 lei","12,198.81 lei",3/4/2025,30454683,3/13/2025,AUTO EUROPA SELECTION SRL,,"Usa Fata stƒnga Cu zgƒrieturi (Informativ), Bara de protectie Fata Cu adƒncituri (Repara?ie), Capota Fata Vopsea s?rit? (Repara?ie), Usa Fata dreapta Cu adƒncituri (Informativ), Aripa Spate dreapta Cu adƒncituri (Informativ), Aripa Spate stƒnga Cu zgƒrieturi (Informativ), Plafon Centrala Vopsea s?rit? (Informativ), Cheder cadru usa Fata stƒnga Str?puns (?nlocuire), Alte accesorii Interior P?tat (Cur??are), Mocheta Fata stƒnga Ars (?nlocuire), Compartiment interior Spate dreapta Str?puns (Informativ), Compartiment interior Spate stƒnga Str?puns (Informativ), Placa spate Spate Neconform (Informativ), Revizie 29.05.2024/40591km",,15376,14798,BUNA,13.12.2024/DK,, - ,10/22/2025, - ,41,42,CIV,,,-,13.12.2024,#VALUE!,331,108
45,VF1HJD40471115558,19/11/2024,AUTOTURISM,DACIA,DUSTER II F.2,JOURNEY,URBAN GREY,2023,79597,1461,115,6/20/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT,"15,727.65 ?","17,865.00 ?",12/20/2024,AMAT SELECTION SRL,,"4WD, SCAUNE INCALZITE, CAMERA MULTIVIEW, PACHET CONFORT 2",1115558,B117XPB,0.00%,"17,865.00 ?",4.9756 lei,"88,889.09 lei","74,696.72 lei","14,192.38 lei",3/10/2025,30454700,3/14/2025,AMAT SELECTION SRL,,"Bara de protectie Fata Neconform (Informativ), Far Fata stƒnga Cu zgƒrieturi (Informativ), Capota Fata Vopsea s?rit? (Informativ), Parbriz Fata Str?puns (Informativ), Aripa Spate dreapta Cu adƒncituri (Informativ), Jante din aliaj de 17? Spate dreapta Cu zgƒrieturi (Informativ), Bara de protectie Spate Neconform (Informativ), Alte accesorii Interior P?tat (Cur??are), Compartiment interior Spate dreapta Str?puns (Informativ), Compartiment interior Spate stƒnga Str?puns (Informativ), Usa Spate stƒnga Marcat cu autocolant (Informativ), Revopsit bara fata, Revizie 23.07.2024/76085km",,17865,16329,BUNA,13.12.2024/DK,,5/28/2026,10/22/2025,218,14,36,CIV,,,,13.12.2024,#VALUE!,337,115
46,VF1HJD20470197929,06/12/2024,AUTOTURISM,DACIA,DUSTER II F.2,JOURNEY,LICHEN KAKI,2022,60586,1332,150,1/19/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"13,937.04 ?","18,500.00 ?",2/13/2025,AMAT SELECTION SRL,,"EDC 2WD, SCAUNE INCALZITE, CAMERA MULTIVIEW, ROATA REZERVA NORMALA, PACHET CONFORT 2",0197929,B116KUX,5.68%,"17,450.00 ?",4.9756 lei,"86,824.22 lei","72,961.53 lei","13,862.69 lei",3/10/2025,30454701,3/14/2025,AMAT SELECTION SRL,BUNA,"INFUNDAT 2CM PLAFON, ZGARIAT USOR BARA FATA, ZGARIETURI FINE PE AMBELE LATERALE, LIPSA REVIZIE IN MANUAL, REVIZIE 57533KM (09.2024)-CONFORM ICM",18500,18607,16426,F BUNA,23.01.2025/RS,,12/22/2025,10/22/2025,61,21,36,CIV,,,-,23.01.2025,#VALUE!,320,98
47,VF1HJD40869611169,06/12/2024,AUTOTURISM,DACIA,DUSTER II F.2,PRESTIGE,GRIS HIGHLAND,2022,63132,1332,150,7/15/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"12,204.84 ?","18,500.00 ?",2/13/2025,AMAT SELECTION SRL,,"4WD, SCAUNE INCALZITE, PACHET HARTI, CAMERA MULTIVIEW, RTFIT, PACHET CONFORT 2",9611169,B114TST,5.68%,"17,450.00 ?",4.9756 lei,"86,824.22 lei","72,961.53 lei","13,862.69 lei",3/10/2025,30454702,3/14/2025,AMAT SELECTION SRL,INTERIOR MURDAR-NECESAR IGIENIZARE,"MICI CIUPITURI PARBRIZ, MICI PUNCTE VOPSEA SARITA CAPOTA, CARTE SERVICE 57704KM (09.2024)",18500,17027,15159,F BUNA,23.01.2025/RS,100,6/29/2025,10/22/2025,-115,28,36,CIV,,,-,23.01.2025,#VALUE!,320,98
48,UU1DBG001LU002663,27/07/2023,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,MOTON SILVER,2020,17804,ELECTRIC,45,6/24/2021,RCI FINANTARE ROMANIA,EXTERNA,LO,PARC AMAT,"36,188.21 lei",,,AUTO EUROPA SELECTION SRL,,"ROATA DE REZERVA, BATERIE, INCARCARE RAPIDA",U002663,B110VJZ,#DIV/0!,"8,150.00 ?",5.0005 lei,"40,754.08 lei","34,247.12 lei","6,506.95 lei",3/10/2025,RCRF4005621VO,3/17/2025,AUTO EUROPA SELECTION SRL,BUNA,"REVOPSIT ARIPA FATA ST+BANDOU GAZAT, INFUNDAT 2CM USA FATA DR, LIPSA SUPORT SUSTINERE BRAT CAPOTA, ZGARIAT CAPAC ROATA SPATE DR, CARTE SERVICE 10345KM (22.06.2022)",10500,N/A,N/A,F BUNA,20-06-2023/RS,,-,10/22/2025, - ,-,-,CIV,,,-,20-06-2023,#VALUE!,818,599
49,UU1DBG003LU002504,27/07/2023,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,MOTON SILVER,2020,11637,ELECTRIC,45,6/24/2021,RCI FINANTARE ROMANIA,EXTERNA,LO,PARC AMAT,"36,188.21 lei",,,AUTO EUROPA SELECTION SRL,,"ROATA DE REZERVA, BATERIE, INCARCARE RAPIDA",U002504,B110VJF,#DIV/0!,"8,150.00 ?",5.0005 lei,"40,754.08 lei","34,247.12 lei","6,506.95 lei",3/10/2025,RCRF4005622VO,3/17/2025,AUTO EUROPA SELECTION SRL,BUNA,"A FOST LOVITA IN SPATE, FUSTA PORTBAGAJ REPARATA, REVOPSIT INTEGRAL, LIPSA REVIZIE IN MANUAL+ISTORIC SERVICE ICM, NECESAR REVIZIE 1AN+COD RADIO, REVIZIE 4854KM (05.2022)-CONFORM DEVIZ",10000,N/A,N/A,MEDIE,20-06-2023/RS,,-,10/22/2025, - ,-,-,CIV,,,-,20-06-2023,#VALUE!,818,599
50,UU1DBG007LU002487,26.05.2023/MIOVENI,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,MOTON SILVER,2020,11807,ELECTRIC,45,6/24/2021,RCI FINANTARE ROMANIA,EXTERNA,LO,PARC AMAT,"40,911.09 lei",,,AUTO EUROPA SELECTION SRL,,"ROATA DE REZERVA, BATERIE, INCARCARE RAPIDA",U002487,B110VIW,#DIV/0!,"8,150.00 ?",5.0023 lei,"40,768.75 lei","34,259.45 lei","6,509.30 lei",3/4/2025,RCRF4005623VO,3/17/2025,AUTO EUROPA SELECTION SRL,BUNA,"ZGARIAT USA DREAPTA SPATE+CAPAC ROATA DREAPTA FATA, FUSTA PRAG DREAPTA USOR INFUNDATA, LIPSA REVIZIE AN+CARNET GARANTIE+PLO, ",11000,N/A,N/A,F BUNA,02-09-2022/OV,300,5/30/2024,10/22/2025,-510,-,-,CIV,,,-,02-09-2022,-,#VALUE!,#VALUE!
51,UU1DBG004LU002639,26.05.2023/MIOVENI,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,MOTON SILVER,2020,18014,ELECTRIC,45,6/24/2021,RCI FINANTARE ROMANIA,EXTERNA,LO,PARC AMAT,"40,911.09 lei",,,AUTO EUROPA SELECTION SRL,,"ROATA DE REZERVA, BATERIE, INCARCARE RAPIDA",U002639,B110VOW,#DIV/0!,"8,150.00 ?",5.0023 lei,"40,768.75 lei","34,259.45 lei","6,509.30 lei",3/4/2025,RCRF4005624VO,3/17/2025,AUTO EUROPA SELECTION SRL,BUNA,"LIPSA MAPA MANUALE+REVIZIE IN ICM, VOPSEA BARA SPATE CIOBITA 2X0.5CM, PLACUTA OVALA DETERIORATA",11000,N/A,N/A,F BUNA,02-09-2022/OV,100,5/30/2024,10/22/2025,-510,-,-,CIV,,,-,02-09-2022,-,#VALUE!,#VALUE!
52,UU1DJF00470042472,05/11/2024,AUTOTURISM,DACIA,LOGAN III,COMFORT,PEARL BLACK,2022,22172,999,90,11/22/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"8,722.85 ?","10,879.00 ?",12/23/2024,AUTO EUROPA SELECTION SRL,,STANDARD,0042472,B115ZBK,1.65%,"10,700.00 ?",4.9756 lei,"53,238.92 lei","44,738.59 lei","8,500.33 lei",3/10/2025,30454715,3/17/2025,AUTO EUROPA SELECTION SRL,,"Usa Fata stƒnga Cu zgƒrieturi (Informativ), Pneu Fata dreapta Str?puns (?nlocuire), Pneu Spate dreapta Uzat (?nlocuire), Bara de protectie Spate Cu zgƒrieturi (Informativ), Hayon / portbagaj Spate Cu adƒncituri (Informativ), Pneu Spate stƒnga Uzat (?nlocuire), Alte accesorii Interior P?tat (Cur??are), Panou spate Spate Cu zgƒrieturi (Informativ), Revizie 29.11.2023/19035km, Necesar revizie",,10879,10062,BUNA,16.12.2024/DK,,11/14/2025,10/22/2025,23,14,36,CIV,,,-,16.12.2024,#VALUE!,351,132
53,UU1DJF00870561170,20/11/2024,AUTOTURISM,DACIA,SANDERO IIIÿÿ,STEPWAY EXTREME,COMET GREY,2023,34376,999,110,5/31/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"10,986.69 ?","11,890.00 ?",12/21/2024,AUTO EUROPA SELECTION SRL,,STANDARD,0561170,B117TOG,-9.97%,"13,075.00 ?",4.9756 lei,"65,055.97 lei","54,668.88 lei","10,387.09 lei",3/10/2025,30454716,3/17/2025,AUTO EUROPA SELECTION SRL,,"Usa Fata stƒnga Cu zgƒrieturi (Repara?ie), Aripa Fata stƒnga Cu zgƒrieturi (Informativ), Capota Fata Vopsea s?rit? (Informativ), Mƒner usa exterior Fata dreapta Cu zgƒrieturi (Informativ), Bara de protectie Spate Cu zgƒrieturi (Informativ), Alte portiuni din caroserie Centrala P?tat (Cur??are), Revizie 08.05.2024/30128km",,11890,10701,BUNA,14.12.2024/DK,,5/21/2026,10/22/2025,211,17,36,CIV,,,,14.12.2024,#VALUE!,336,117
54,VF1RFB00565279540,14/01/2025,AUTOTURISM,RENAULT,MEGANE 4,INTENS,NOIR ETOILE,2020,61291,1461,116,6/14/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"8,271.55 ?","13,500.00 ?",2/13/2025,AUTO EUROPA SELECTION SRL,,"EDC, SCAUN SOFER CU INCALZIRE",5279540,B110SZF,5.00%,"12,825.00 ?",4.9756 lei,"63,812.07 lei","53,623.59 lei","10,188.48 lei",3/10/2025,30454717,3/17/2025,AUTO EUROPA SELECTION SRL,BUTON PORNIRE EXFOLIAT,"PARBRIZ CIOBIT 2X1CM, REVOPSIT BARA SPATE, AMORTIZOARE HAION DEFECTE, BARA FATA CRAPATA 3CM, MICI PUNCTE VOPSEA SARITA CAPOTA, INFUNDAT USOR+ZGARIAT ARIPA SPATE ST, ZGARIETURI FINE PE AMBELE LATERALE, CARTE SERVICE 49234KM (05.2024)",13500,13309,12260,BUNA,31.01.2025/RS,300, - ,10/22/2025, - ,40,42,CIV,,,-,31.01.2025,#VALUE!,281,62
55,VF1HJD40867425305,14/01/2025,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,BLUE IRON,2021,87670,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"8,843.30 ?","15,800.00 ?",04.03.2025,PLUS AUTOTRADE SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7425305,B110KMJ,1.90%,"15,500.00 ?",4.9768 lei,"77,140.40 lei","64,823.87 lei","12,316.53 lei",3/17/2025,30454934,3/24/2025,PLUS AUTOTRADE SRL,SCAUN SOFER USOR DESPRINS,"PARBRIZ CIOBIT 2CM, ZGARIETURI FINE PE AMBELE LATERALE, INFUNDAT 3CM USA SPATE DR, LIPSA REVIZIE IN MANUAL+ICM, REVIZIE 81897KM (09.2024)-CONFORM DEVIZ",15800,15533,13590,BUNA,14.02.2025/RS,, - ,10/22/2025, - ,41,44,CIV,,,-,14.02.2025,#VALUE!,281,69
56,VF1HJD40367169641,14/01/2025,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,GRI COMETE,2021,52640,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"8,843.30 ?","16,800.00 ?",04.03.2025,PLUS AUTOTRADE SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7169641,B110KZT,5.00%,"15,960.00 ?",4.9768 lei,"79,429.73 lei","66,747.67 lei","12,682.06 lei",3/17/2025,30454935,3/24/2025,PLUS AUTOTRADE SRL,BUNA,"ZGARIAT BARA FATA, INFUNDAT 2CM PLAFON+ARIPA FATA DR+USA SPATE DR, CARTE SERVICE 44410KM (06.2024)",16800,15762,13869,BUNA,14.02.2025/RS,200, - ,10/22/2025, - ,41,44,CIV,,,-,14.02.2025,#VALUE!,281,69
57,VF1HJD40567169642,14/01/2025,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,GRI COMETE,2021,27925,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"8,843.30 ?","17,000.00 ?",04.03.2025,PLUS AUTOTRADE SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7169642,B110KLE,5.00%,"16,150.00 ?",4.9768 lei,"80,375.32 lei","67,542.29 lei","12,833.03 lei",3/17/2025,30454936,3/24/2025,PLUS AUTOTRADE SRL,BUNA,"MICI CIUPITURI PARBRIZ, ZGARIAT USOR BARA FATA+JANTA FATA DR+CAPAC OGLINDA DR, CARTE SERVICE 22568KM (05.2024)",17000,15976,14134,F BUNA,14.02.2025/RS,, - ,10/22/2025, - ,41,44,CIV,,,-,14.02.2025,#VALUE!,281,69
58,VF1AG000470384647,28/11/2024,AUTOTURISM,RENAULT,ZOE,EQUILIBRE Z.E. 40 - R110,ALB GLACIER,2023,9,ELECTRIC,110,12/16/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,MERIDIAN NORD,"81,452.40 lei","21,000.00 ?",,PLUS AUTOTRADE SRL,,"INCARCARE RAPIDA DC 50, BATERIE",0384647,B122ZHD,4.76%,"20,000.00 ?",5.0017 lei,"100,034.00 lei","84,062.18 lei","15,971.82 lei",3/17/2025,RCRF4005625VO,3/24/2025,PLUS AUTOTRADE SRL,STARE NOUA,STARE NOUA,21000,25477,22512,F BUNA,29.11.2024/RS,,4/20/2027,10/22/2025,545,-,-,CIV+COC,,,-,29.11.2024,#VALUE!,328,116
59,VF1RCB00170494694,27/12/2024,AUTOTURISM,RENAULT,MEGANE E-TECH,TECHNO ,GRIS SCHISTE,2023,17,ELECTRIC,220,INMATRICULARE <06.07.2025,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"95,277.55 lei","30,201.00 ?",,MIDA AUTO SELECTION SRL,FT18,"E-TECH EV60 220CP SUPER CHARGE, CABLU INCARCARE MODE 2 6.5M, BITON",0494694,NEINMATRICULATA,10.60%,"27,000.00 ?",5.0023 lei,"135,062.10 lei","113,497.56 lei","21,564.54 lei",3/19/2025,RCRF4005626VO,3/26/2025,MIDA AUTO SELECTION SRL,,Cu zgƒrieturi Bara de protectie Spate (Informativ),,30201,27393,F BUNA,15.02.2025/DK,0,4/18/2027,10/22/2025,543,-,-,,,,-,15.02.2025,#VALUE!,299,89
60,VF1RCB00470493376,27/12/2024,AUTOTURISM,RENAULT,MEGANE E-TECH,TECHNO ,GRIS SCHISTE,2023,18,ELECTRIC,220,INMATRICULARE <06.07.2025,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"98,453.61 lei","29,932.00 ?",,MIDA AUTO SELECTION SRL,FT18,"E-TECH EV60 220CP SUPER CHARGE, PACHET ADVANCED DRIVE ASSIST, PACHET PERFORMANCE, ",0493376,NEINMATRICULATA,9.80%,"27,000.00 ?",5.0023 lei,"135,062.10 lei","113,497.56 lei","21,564.54 lei",3/19/2025,RCRF4005627VO,3/26/2025,MIDA AUTO SELECTION SRL,,"Lips? Portdocumente - (Informativ), Lips? Manual de utilizare - (Informativ), Cu zgƒrieturi Bara de protectie Spate (Informativ)",,29932,26213,F BUNA,15.02.2025/DK,0,5/3/2027,10/22/2025,558,-,-,,,,-,15.02.2025,#VALUE!,299,89
61,VF1RCB00770313579,27/12/2024,AUTOTURISM,RENAULT,MEGANE E-TECH,TECHNO ,ALB GLACIER,2022,11,ELECTRIC,220,NEINMATRICULATA,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"105,878.14 lei","31,041.00 ?",,MIDA AUTO SELECTION SRL,FT18,"E-TECH EV60 220CP SUPER CHARGE, OPEN RLINK 12, AUDIO PREMIUM HARMAN KARDON, PACHET ADVANCED DRIVE ASSIST, PACHET PERFORMANCE, ",0313579,NEINMATRICULATA,13.02%,"27,000.00 ?",5.0023 lei,"135,062.10 lei","113,497.56 lei","21,564.54 lei",3/19/2025,RCRF4005628VO,3/26/2025,MIDA AUTO SELECTION SRL,,"Lips? Portdocumente - (Informativ), Lips? Manual de utilizare - (Informativ), Cu zgƒrieturi Capota Fata (Informativ)",,31041,27233,F BUNA,15.02.2025/DK,0,2/20/2027,10/22/2025,486,-,-,,,,-,15.02.2025,#VALUE!,299,89
62,VF1RCB00770421247,27/12/2024,AUTOTURISM,RENAULT,MEGANE E-TECH,ICONIC,BLUE MIDNIGHT,2022,9,ELECTRIC,220,NEINMATRICULATA,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"84,453.03 lei","29,516.00 ?",,"Dep Comunicare - final de aprilie 2025, aprobare de la Istvan",FT18,E-TECH EV60 220CP SUPER CHARGE,0421247,NEINMATRICULATA,8.52%,"27,000.00 ?",5.0023 lei,"135,062.10 lei","113,497.56 lei","21,564.54 lei",3/19/2025,RCRF4005629VO,3/26/2025,MIDA AUTO SELECTION SRL,,"Lips? Portdocumente - (Informativ), Lips? Manual de utilizare - (Informativ), Cu zgƒrieturi Usa Spate stƒnga (Informativ)",,29516,27213,F BUNA,15.02.2025/DK,0,2/16/2027,10/22/2025,482,-,-,,,,-,15.02.2025,#VALUE!,299,89
63,VF1RCB00871564413,27/12/2024,AUTOTURISM,RENAULT,MEGANE E-TECH,TECHNO,GRIS RAFALE,2023,10,ELECTRIC,,INMATRICULARE <06.07.2025,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"97,311.38 lei","29,932.00 ?",,MIDA AUTO SELECTION SRL,FT18,"E-TECH EV60 220CP OPTIMUM CHARGE, PACHET ADVANCED DRIVE ASSIST, PACHET IARNA TECHNO, POMPA INCALZIRE",1564413,NEINMATRICULATA,9.80%,"27,000.00 ?",5.0023 lei,"135,062.10 lei","113,497.56 lei","21,564.54 lei",3/19/2025,RCRF4005630VO,3/26/2025,MIDA AUTO SELECTION SRL,,"Lips? Portdocumente - (Informativ), Lips? Manual de utilizare - (Informativ), Cu zgƒrieturi Bara de protectie Spate (Informativ)",,29932,26213,F BUNA,15.02.2025/DK,0,10/10/2027,10/22/2025,718,-,-,,,,-,15.02.2025,#VALUE!,299,89
64,VF1RCB00370312395,27/12/2024,AUTOTURISM,RENAULT,MEGANE E-TECH,EQUILIBRE,ALB GLACIER,2022,18,ELECTRIC,220,NEINMATRICULATA,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"80,193.20 lei","29,868.00 ?",,MIDA AUTO SELECTION SRL,FT18,"E-TECH EV60 220CP SUPER CHARGE, PACHET PERFORMANCE, PACHET IARNA, PACHET CONFORT",0312395,NEINMATRICULATA,9.60%,"27,000.00 ?",5.0023 lei,"135,062.10 lei","113,497.56 lei","21,564.54 lei",3/19/2025,RCRF4005631VO,3/26/2025,MIDA AUTO SELECTION SRL,,"Lips? Portdocumente - (Informativ), Lips? Manual de utilizare - (Informativ), Cu zgƒrieturi Aripa Fata dreapta (Informativ)",,29868,26213,F BUNA,15.02.2025/DK,0,2/14/2027,10/22/2025,480,-,-,,,,-,15.02.2025,#VALUE!,299,89
65,VF1RHN00970941453,27/12/2024,AUTOTURISM,RENAULT,AUSTRAL,ICONIC E-TECH,BLUE IRON,2023,21715,1199,200,4/23/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"124,584.09 lei","32,682.00 ?",,STAR MOTOR SRL,FT18,"E-TECH, LED MATRIX VISION, PLAFON PANORAMIC VITRAT, OPEN RLINK 12 HARMAN KARDON, PRIC0, PCU46",0941453,B120PLW,6.68%,"30,500.00 ?",5.0019 lei,"152,557.95 lei","128,199.96 lei","24,357.99 lei",3/24/2025,RCRF4005632VO,3/26/2025,STAR MOTOR SRL,,"Lips? Portdocumente - (Informativ), Lips? Manual de utilizare - (Informativ), Cu zgƒrieturi Spoiler Fata (Repara?ie), Neconform Pneu de 20? Spate dreapta (?nlocuire), Cu zgƒrieturi Bara de protectie Spate (Informativ), Cu zgƒrieturi Jante din aliaj de 20? Spate stƒnga (Informativ), Cu zgƒrieturi Pasaj de roata Spate stƒnga (Informativ)",,32682,29965,BUNA,15.02.2025/DK,376,10/15/2027,10/22/2025,723,-,-,,,,-,15.02.2025,#VALUE!,299,89
66,VF1RJK00271554241,27/12/2024,AUTOTURISM,RENAULT,EXPRESS,CONFORT,ALB GLACIER,2023,13,1333,102,12/17/2017,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"47,620.38 lei","13,358.00 ?",,STAR MOTOR SRL,FT18,"EASY LINK, ASISTENTA PARCARE SPATE",1554241,B123EGJ,0.06%,"13,350.00 ?",5.0019 lei,"66,775.37 lei","56,113.75 lei","10,661.61 lei",3/24/2025,RCRF4005633VO,3/26/2025,STAR MOTOR SRL,,"Neconform Cheder cadru usa Fata stƒnga (?nlocuire), Plafon inlocuit",,13358,12107,MEDIE,15.02.2025/DK,45,11/26/2026,10/22/2025,400,-,-,CIV,,,-,15.02.2025,#VALUE!,299,89
